"Näytteen päivämäärä","Puhdistamo","Puhdistamon sijainti","Puhdistamon asiakasmäärä","Koronavirus-tulos näytteestä","Epävarmuus-tekijät","Virtaama","Normalisoitu RNA-lukumäärä DNA-standardilla","Normalisoitu RNA-lukumäärä RNA-standardilla"
"2022-07-25","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","33144","739298","266376"
"2022-07-25","Koko maa","Koko maa","","","","","357368","117118"
"2022-07-25","Mäkikylä","Kouvola","67107","havaittu, yli määritysrajan","b","16375","13113","6271"
"2022-07-25","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","14557","672304","191497"
"2022-07-25","Toikansuo","Lappeenranta","63000","havaittu, yli määritysrajan","","11168","172835","53661"
"2022-07-25","Taskila","Oulu","200000","havaittu, yli määritysrajan","","39669","121171","76859"
"2022-07-25","Luotsinmäki","Pori","112000","havaittu, yli määritysrajan","","22088","70924","26003"
"2022-07-25","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","6938","247785","68819"
"2022-07-25","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","61735","510366","163530"
"2022-07-25","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","49604","274884","83333"
"2022-07-25","Pått","Vaasa","69500","havaittu, yli määritysrajan","","15917","217598","70147"
"2022-07-18","Suomenoja","Espoo","390000","havaittu, yli määritysrajan","","71745","655906","32129"
"2022-07-18","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","226973","430103","18031"
"2022-07-18","Paroinen","Hämeenlinna","66000","havaittu, yli määritysrajan","","14071","161972","7355"
"2022-07-18","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","19241","304292","12876"
"2022-07-18","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","36341","1129345","53038"
"2022-07-18","Koko maa","Koko maa","","","","","566383","24970"
"2022-07-18","Mäkikylä","Kouvola","67107","havaittu, yli määritysrajan","b","18709","84053","4135"
"2022-07-18","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","15233","529206","20741"
"2022-07-18","Toikansuo","Lappeenranta","63000","havaittu, yli määritysrajan","","13983","255942","9988"
"2022-07-18","Taskila","Oulu","200000","havaittu, yli määritysrajan","","39857","502382","24620"
