"Näytteen päivämäärä","Puhdistamo","Puhdistamon sijainti","Puhdistamon asiakasmäärä","Koronavirus-tulos näytteestä","Epävarmuus-tekijät","Virtaama","Normalisoitu RNA-lukumäärä DNA-standardilla","Normalisoitu RNA-lukumäärä RNA-standardilla"
"2022-12-19","Koko maa","Koko maa","","","","","","248188"
"2022-12-19","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","14298","","330227"
"2022-12-19","Taskila","Oulu","200000","havaittu, yli määritysrajan","","43432","","82249"
"2022-12-19","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","59526","","157009"
"2022-12-19","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","59117","","587503"
"2022-12-19","Pått","Vaasa","69500","havaittu, yli määritysrajan","","13510","","116046"
"2022-12-12","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","b","212473","","377283"
"2022-12-12","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","b","14870","","232514"
"2022-12-12","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","b","32398","","515979"
"2022-12-12","Koko maa","Koko maa","","","","","","375661"
"2022-12-12","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","b","14861","","237507"
"2022-12-12","Toikansuo","Lappeenranta","63000","havaittu, yli määritysrajan","b","14985","","164940"
"2022-12-12","Taskila","Oulu","200000","havaittu, yli määritysrajan","b","43501","","218566"
"2022-12-12","Alheda","Pietarsaari","30500","havaittu, yli määritysrajan","b","9071","","147682"
"2022-12-12","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","b","12348","","459851"
"2022-12-12","Seinäjoen keskuspuhdistamo","Seinäjoki","55000","havaittu, yli määritysrajan","b","11845","","240914"
"2022-12-12","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","b","59940","","318293"
"2022-12-12","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","b","55777","","552858"
"2022-12-12","Pått","Vaasa","69500","havaittu, yli määritysrajan","b","13828","","211240"
"2022-12-05","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","b","210981","","151582"
"2022-12-05","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","(a) b","14978","","235778"
"2022-12-05","Koko maa","Koko maa","","","","","","232241"
"2022-12-05","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","15787","","798448"
