"Näytteen päivämäärä","Puhdistamo","Puhdistamon sijainti","Puhdistamon asiakasmäärä","Virtaama","Menetelmä","Epävarmuus-tekijät","Koronavirus-tulos näytteestä","Normalisoitu RNA-lukumäärä"
"2025-12-15","Aggregoitu","Aggregoitu","","","dPCR A","","","68043"
"2025-12-14","Viikinmäki","Helsinki","910000","387081","dPCR A","","Havaittiin","64067"
"2025-12-14","Kuhasalo","Joensuu","98000","16431","dPCR A","","Havaittiin","72015"
"2025-12-14","Lehtoniemi","Kuopio","95400","18169","dPCR A","","Havaittiin","61427"
"2025-12-14","Taskila","Oulu","200000","52533","dPCR A","","Havaittiin","75671"
"2025-12-14","Alakorkalo","Rovaniemi","55000","18815","dPCR A","","Havaittiin","126011"
"2025-12-14","Kakolanmäki","Turku","300000","126510","dPCR A","","Havaittiin","69091"
"2025-12-14","Pått","Vaasa","69500","20585","dPCR A","","Havaittiin","51235"
"2025-11-24","Aggregoitu","Aggregoitu","","","dPCR A","","","45205"
"2025-11-23","Viikinmäki","Helsinki","910000","303306","dPCR A","","Havaittiin","42868"
"2025-11-23","Kuhasalo","Joensuu","98000","17943","dPCR A","","Havaittiin","39768"
"2025-11-23","Lehtoniemi","Kuopio","95400","16950","dPCR A","","Havaittiin","45795"
"2025-11-23","Taskila","Oulu","200000","45986","dPCR A","","Havaittiin","54794"
"2025-11-23","Alakorkalo","Rovaniemi","55000","18273","dPCR A","","Havaittiin","173010"
"2025-11-23","Viinikanlahti","Tampere","200000","70129","dPCR A","","Havaittiin","26814"
"2025-11-23","Kakolanmäki","Turku","300000","136005","dPCR A","","Havaittiin","35144"
"2025-11-23","Pått","Vaasa","69500","22073","dPCR A","","Havaittiin","50277"
"2025-11-17","Aggregoitu","Aggregoitu","","","dPCR A","","","29708"
"2025-11-16","Viikinmäki","Helsinki","910000","339106","dPCR A","(a)","Havaittiin","19635"
"2025-11-16","Kuhasalo","Joensuu","98000","16620","dPCR A","","Havaittiin","23555"
"2025-11-16","Lehtoniemi","Kuopio","95400","16216","dPCR A","","Havaittiin","30443"
"2025-11-16","Taskila","Oulu","200000","50042","dPCR A","","Havaittiin","38553"
"2025-11-16","Alakorkalo","Rovaniemi","55000","18433","dPCR A","","Havaittiin","162105"
"2025-11-16","Viinikanlahti","Tampere","200000","70129","dPCR A","","Havaittiin","31082"
"2025-11-16","Pått","Vaasa","69500","17418","dPCR A","","Havaittiin","35079"
"2025-11-10","Aggregoitu","Aggregoitu","","","dPCR A","","","27549"
"2025-11-09","Viikinmäki","Helsinki","910000","285092","dPCR A","","Havaittiin","20713"
"2025-11-09","Kuhasalo","Joensuu","98000","15787","dPCR A","","Havaittiin","4891"
"2025-11-09","Lehtoniemi","Kuopio","95400","20675","dPCR A","","Havaittiin","65394"
"2025-11-09","Taskila","Oulu","200000","44137","dPCR A","","Havaittiin","32092"
"2025-11-09","Alakorkalo","Rovaniemi","55000","18168","dPCR A","","Havaittiin","81331"
"2025-11-09","Viinikanlahti","Tampere","200000","70129","dPCR A","","Havaittiin","30436"
"2025-11-09","Kakolanmäki","Turku","300000","107491","dPCR A","","Havaittiin","30246"
"2025-11-09","Pått","Vaasa","69500","16513","dPCR A","","Havaittiin","21483"
"2025-11-03","Aggregoitu","Aggregoitu","","","dPCR A","","","31837"
"2025-11-02","Viikinmäki","Helsinki","910000","364091","dPCR A","","Havaittiin","25866"
"2025-11-02","Kuhasalo","Joensuu","98000","16607","dPCR A","","Havaittiin","16467"
"2025-11-02","Lehtoniemi","Kuopio","95400","16627","dPCR A","","Havaittiin","67435"
"2025-11-02","Taskila","Oulu","200000","41847","dPCR A","","Havaittiin","37029"
"2025-11-02","Alakorkalo","Rovaniemi","55000","19369","dPCR A","","Havaittiin","89844"
"2025-11-02","Viinikanlahti","Tampere","200000","70129","dPCR A","","Havaittiin","41463"
"2025-11-02","Kakolanmäki","Turku","300000","118212","dPCR A","","Havaittiin","26793"
"2025-11-02","Pått","Vaasa","69500","20051","dPCR A","","Havaittiin","16056"
"2025-10-27","Aggregoitu","Aggregoitu","","","dPCR A","","","32283"
"2025-10-26","Viikinmäki","Helsinki","910000","401419","dPCR A","","Havaittiin","33357"
"2025-10-26","Kuhasalo","Joensuu","98000","15229","dPCR A","","Havaittiin","14885"
"2025-10-26","Lehtoniemi","Kuopio","95400","14775","dPCR A","","Havaittiin","45221"
"2025-10-26","Taskila","Oulu","200000","43715","dPCR A","","Havaittiin","38476"
"2025-10-26","Viinikanlahti","Tampere","200000","43771","dPCR A","","Havaittiin","29014"
"2025-10-26","Kakolanmäki","Turku","300000","112047","dPCR A","","Havaittiin","29922"
"2025-10-26","Pått","Vaasa","69500","15802","dPCR A","","Havaittiin","26756"
"2025-10-20","Aggregoitu","Aggregoitu","","","dPCR A","","","30289"
"2025-10-19","Viikinmäki","Helsinki","910000","225023","dPCR A","","Havaittiin","26686"
"2025-10-19","Kuhasalo","Joensuu","98000","14653","dPCR A","","Havaittiin","9227"
"2025-10-19","Lehtoniemi","Kuopio","95400","14649","dPCR A","","Havaittiin","32187"
"2025-10-19","Taskila","Oulu","200000","41423","dPCR A","","Havaittiin","24340"
"2025-10-19","Alakorkalo","Rovaniemi","55000","16012","dPCR A","","Havaittiin","87666"
"2025-10-19","Viinikanlahti","Tampere","200000","70129","dPCR A","","Havaittiin","57534"
"2025-10-19","Kakolanmäki","Turku","300000","70238","dPCR A","","Havaittiin","27360"
"2025-10-19","Pått","Vaasa","69500","14509","dPCR A","","Havaittiin","10512"
"2025-10-13","Aggregoitu","Aggregoitu","","","dPCR A","","","23909"
"2025-10-12","Viikinmäki","Helsinki","910000","237005","dPCR A","","Havaittiin","20002"
"2025-10-12","Kuhasalo","Joensuu","98000","15476","dPCR A","","Havaittiin","13649"
"2025-10-12","Lehtoniemi","Kuopio","95400","14168","dPCR A","","Havaittiin","29006"
"2025-10-12","Taskila","Oulu","200000","49508","dPCR A","","Havaittiin","24168"
"2025-10-12","Alakorkalo","Rovaniemi","55000","15611","dPCR A","","Havaittiin","62290"
"2025-10-12","Viinikanlahti","Tampere","200000","70129","dPCR A","","Havaittiin","31613"
"2025-10-12","Kakolanmäki","Turku","300000","91164","dPCR A","","Havaittiin","27976"
"2025-10-12","Pått","Vaasa","69500","14851","dPCR A","","Havaittiin","11692"
"2025-10-06","Aggregoitu","Aggregoitu","","","dPCR A","","","34569"
"2025-10-05","Viikinmäki","Helsinki","910000","262869","dPCR A","","Havaittiin","30557"
"2025-10-05","Kuhasalo","Joensuu","98000","14815","dPCR A","","Havaittiin","7578"
"2025-10-05","Lehtoniemi","Kuopio","95400","14607","dPCR A","","Havaittiin","58055"
"2025-10-05","Taskila","Oulu","200000","39740","dPCR A","","Havaittiin","24006"
"2025-10-05","Alakorkalo","Rovaniemi","55000","15523","dPCR A","","Havaittiin","51007"
"2025-10-05","Viinikanlahti","Tampere","200000","70129","dPCR A","","Havaittiin","56333"
"2025-10-05","Kakolanmäki","Turku","300000","88137","dPCR A","","Havaittiin","42161"
"2025-10-05","Pått","Vaasa","69500","15836","dPCR A","","Havaittiin","14896"
"2025-09-29","Aggregoitu","Aggregoitu","","","dPCR A","","","26813"
"2025-09-28","Viikinmäki","Helsinki","910000","224378","dPCR A","","Havaittiin","27982"
"2025-09-28","Kuhasalo","Joensuu","98000","14642","dPCR A","b","Havaittiin","6827"
"2025-09-28","Lehtoniemi","Kuopio","95400","14335","dPCR A","","Havaittiin","32627"
"2025-09-28","Taskila","Oulu","200000","41527","dPCR A","","Havaittiin","26045"
"2025-09-28","Alakorkalo","Rovaniemi","55000","15382","dPCR A","","Havaittiin","29463"
"2025-09-28","Viinikanlahti","Tampere","200000","43359","dPCR A","","Havaittiin","20529"
"2025-09-28","Kakolanmäki","Turku","300000","73451","dPCR A","b","Havaittiin","34264"
"2025-09-28","Pått","Vaasa","69500","15485","dPCR A","","Havaittiin","17749"
"2025-09-22","Aggregoitu","Aggregoitu","","","dPCR A","","","14827"
"2025-09-21","Viikinmäki","Helsinki","910000","270380","dPCR A","","Havaittiin","19301"
"2025-09-21","Kuhasalo","Joensuu","98000","17802","dPCR A","","Havaittiin","6532"
"2025-09-21","Lehtoniemi","Kuopio","95400","16921","dPCR A","","Havaittiin","8391"
"2025-09-21","Taskila","Oulu","200000","52506","dPCR A","","Havaittiin","9999"
"2025-09-21","Alakorkalo","Rovaniemi","55000","16328","dPCR A","","Havaittiin","10461"
"2025-09-21","Viinikanlahti","Tampere","200000","70129","dPCR A","(a)","Havaittiin","16775"
"2025-09-21","Kakolanmäki","Turku","300000","105546","dPCR A","","Havaittiin","10408"
"2025-09-21","Pått","Vaasa","69500","16818","dPCR A","","Havaittiin","7587"
"2025-09-15","Aggregoitu","Aggregoitu","","","dPCR A","","","24453"
"2025-09-14","Viikinmäki","Helsinki","910000","268044","dPCR A","","Havaittiin","26677"
"2025-09-14","Kuhasalo","Joensuu","98000","15206","dPCR A","","Havaittiin","6758"
"2025-09-14","Lehtoniemi","Kuopio","95400","14211","dPCR A","b","Havaittiin","16584"
"2025-09-14","Taskila","Oulu","200000","41367","dPCR A","","Havaittiin","16287"
"2025-09-14","Alakorkalo","Rovaniemi","55000","14539","dPCR A","","Havaittiin","28042"
"2025-09-14","Viinikanlahti","Tampere","200000","61070","dPCR A","","Havaittiin","32762"
"2025-09-14","Kakolanmäki","Turku","300000","66455","dPCR A","","Havaittiin","28662"
"2025-09-14","Pått","Vaasa","69500","14575","dPCR A","","Havaittiin","9660"
"2025-09-08","Aggregoitu","Aggregoitu","","","dPCR A","","","36318"
"2025-09-07","Viikinmäki","Helsinki","910000","244867","dPCR A","","Havaittiin","28129"
"2025-09-07","Kuhasalo","Joensuu","98000","13828","dPCR A","","Havaittiin","12964"
"2025-09-07","Lehtoniemi","Kuopio","95400","12652","dPCR A","","Havaittiin","17970"
"2025-09-07","Taskila","Oulu","200000","46699","dPCR A","b","Havaittiin","19256"
"2025-09-07","Alakorkalo","Rovaniemi","55000","13242","dPCR A","","Havaittiin","45518"
"2025-09-07","Viinikanlahti","Tampere","200000","60901","dPCR A","","Havaittiin","60134"
"2025-09-07","Kakolanmäki","Turku","300000","81848","dPCR A","","Havaittiin","71368"
"2025-09-07","Pått","Vaasa","69500","15447","dPCR A","","Havaittiin","23633"
"2025-09-01","Aggregoitu","Aggregoitu","","","dPCR A","","","32796"
"2025-08-31","Viikinmäki","Helsinki","910000","224067","dPCR A","","Havaittiin","28883"
"2025-08-31","Kuhasalo","Joensuu","98000","13934","dPCR A","","Havaittiin","5510"
"2025-08-31","Lehtoniemi","Kuopio","95400","12981","dPCR A","","Havaittiin","31876"
"2025-08-31","Taskila","Oulu","200000","43794","dPCR A","","Havaittiin","24634"
"2025-08-31","Alakorkalo","Rovaniemi","55000","14639","dPCR A","","Havaittiin","52615"
"2025-08-31","Viinikanlahti","Tampere","200000","72003","dPCR A","","Havaittiin","44695"
"2025-08-31","Kakolanmäki","Turku","300000","81848","dPCR A","","Havaittiin","53066"
"2025-08-31","Pått","Vaasa","69500","14839","dPCR A","","Havaittiin","9833"
"2025-08-25","Aggregoitu","Aggregoitu","","","dPCR A","","","32325"
"2025-08-24","Viikinmäki","Helsinki","910000","225585","dPCR A","","Havaittiin","34056"
"2025-08-24","Kuhasalo","Joensuu","98000","14238","dPCR A","","Havaittiin","8097"
"2025-08-24","Lehtoniemi","Kuopio","95400","14385","dPCR A","","Havaittiin","17730"
"2025-08-24","Taskila","Oulu","200000","53859","dPCR A","","Havaittiin","20898"
"2025-08-24","Alakorkalo","Rovaniemi","55000","14557","dPCR A","","Havaittiin","53501"
"2025-08-24","Viinikanlahti","Tampere","200000","61847","dPCR A","","Havaittiin","33196"
"2025-08-24","Kakolanmäki","Turku","300000","81848","dPCR A","","Havaittiin","45447"
"2025-08-24","Pått","Vaasa","69500","17310","dPCR A","","Havaittiin","20848"
"2025-08-04","Aggregoitu","Aggregoitu","","","dPCR A","","","15705"
"2025-08-03","Viikinmäki","Helsinki","910000","212699","dPCR A","","Havaittiin","14933"
"2025-08-03","Kuhasalo","Joensuu","98000","13608","dPCR A","a","Havaittiin","6281"
"2025-08-03","Taskila","Oulu","200000","45462","dPCR A","","Havaittiin","14533"
"2025-08-03","Alakorkalo","Rovaniemi","55000","14532","dPCR A","a","Havaittiin","23261"
"2025-08-03","Viinikanlahti","Tampere","200000","58799","dPCR A","","Havaittiin","19611"
"2025-08-03","Kakolanmäki","Turku","300000","81848","dPCR A","","Havaittiin","19358"
"2025-08-03","Pått","Vaasa","69500","14635","dPCR A","a","Havaittiin","9477"
"2025-07-20","Viikinmäki","Helsinki","910000","206257","dPCR A","","Havaittiin","15040"
"2025-07-07","Aggregoitu","Aggregoitu","","","dPCR A","","","21744"
"2025-07-06","Viikinmäki","Helsinki","910000","346760","dPCR A","","Havaittiin","31102"
"2025-07-06","Kuhasalo","Joensuu","98000","15021","dPCR A","","Havaittiin","5227"
"2025-07-06","Lehtoniemi","Kuopio","95400","16079","dPCR A","","Havaittiin","8495"
"2025-07-06","Taskila","Oulu","200000","39980","dPCR A","b","Havaittiin (alhainen määrä)",""
"2025-07-06","Alakorkalo","Rovaniemi","55000","16795","dPCR A","","Havaittiin","18018"
"2025-07-06","Viinikanlahti","Tampere","200000","76155","dPCR A","","Havaittiin","16937"
"2025-07-06","Kakolanmäki","Turku","300000","83590","dPCR A","","Havaittiin","22266"
"2025-07-06","Pått","Vaasa","69500","17451","dPCR A","","Havaittiin","16830"
"2025-06-22","Viikinmäki","Helsinki","910000","211563","dPCR A","","Havaittiin","14738"
"2025-06-09","Aggregoitu","Aggregoitu","","","dPCR A","","","12662"
"2025-06-08","Viikinmäki","Helsinki","910000","211110","dPCR A","","Havaittiin","14090"
"2025-06-08","Kuhasalo","Joensuu","98000","15393","dPCR A","","Havaittiin (alhainen määrä)",""
"2025-06-08","Lehtoniemi","Kuopio","95400","17300","dPCR A","","Havaittiin","6135"
"2025-06-08","Taskila","Oulu","200000","43577","dPCR A","","Havaittiin","10208"
"2025-06-08","Alakorkalo","Rovaniemi","55000","19232","dPCR A","","Havaittiin","9738"
"2025-06-08","Viinikanlahti","Tampere","200000","70129","dPCR A","","Havaittiin","19481"
"2025-06-08","Kakolanmäki","Turku","300000","62086","dPCR A","","Havaittiin","13250"
"2025-06-08","Pått","Vaasa","69500","17990","dPCR A","","Havaittiin","7625"
"2025-05-25","Viikinmäki","Helsinki","910000","239409","dPCR A","","Havaittiin","16254"
"2025-05-12","Aggregoitu","Aggregoitu","","","dPCR A","","","12572"
"2025-05-11","Viikinmäki","Helsinki","910000","230699","dPCR A","","Havaittiin","12370"
"2025-05-11","Lehtoniemi","Kuopio","95400","15126","dPCR A","","Havaittiin","11469"
"2025-05-11","Taskila","Oulu","200000","44183","dPCR A","","Havaittiin","9854"
"2025-05-11","Alakorkalo","Rovaniemi","55000","18854","dPCR A","","Havaittiin","14316"
"2025-05-11","Viinikanlahti","Tampere","200000","64230","dPCR A","","Havaittiin","12324"
"2025-05-11","Kakolanmäki","Turku","300000","71444","dPCR A","","Havaittiin","17116"
"2025-05-11","Pått","Vaasa","69500","14601","dPCR A","","Havaittiin","4287"
"2025-04-27","Viikinmäki","Helsinki","910000","251917","dPCR A","","Havaittiin","5843"
"2025-04-14","Aggregoitu","Aggregoitu","","","dPCR A","","","7431"
"2025-04-13","Viikinmäki","Helsinki","910000","206924","dPCR A","","Havaittiin","8901"
"2025-04-13","Kuhasalo","Joensuu","98000","20278","dPCR A","","Havaittiin (alhainen määrä)",""
"2025-04-13","Lehtoniemi","Kuopio","95400","20028","dPCR A","","Havaittiin (alhainen määrä)",""
"2025-04-13","Taskila","Oulu","200000","44118","dPCR A","","Havaittiin","3550"
"2025-04-13","Alakorkalo","Rovaniemi","55000","16726","dPCR A","","Havaittiin","9370"
"2025-04-13","Viinikanlahti","Tampere","200000","68073","dPCR A","a","Havaittiin","7030"
"2025-04-13","Kakolanmäki","Turku","300000","64035","dPCR A","","Havaittiin","10728"
"2025-04-13","Pått","Vaasa","69500","17530","dPCR A","","Havaittiin","4417"
"2025-03-31","Aggregoitu","Aggregoitu","","","dPCR A","","","6045"
"2025-03-30","Viikinmäki","Helsinki","910000","240115","dPCR A","","Havaittiin","5650"
"2025-03-30","Kuhasalo","Joensuu","98000","24727","dPCR A","","Havaittiin","4755"
"2025-03-30","Lehtoniemi","Kuopio","95400","22053","dPCR A","","Ei havaittu",""
"2025-03-30","Taskila","Oulu","200000","73254","dPCR A","a","Havaittiin","7938"
"2025-03-30","Alakorkalo","Rovaniemi","55000","20666","dPCR A","","Havaittiin","8663"
"2025-03-30","Viinikanlahti","Tampere","200000","69854","dPCR A","","Havaittiin (alhainen määrä)",""
"2025-03-30","Kakolanmäki","Turku","300000","61622","dPCR A","","Havaittiin","11349"
"2025-03-30","Pått","Vaasa","69500","18067","dPCR A","","Havaittiin","6623"
"2025-03-17","Aggregoitu","Aggregoitu","","","dPCR A","","","6496"
"2025-03-16","Viikinmäki","Helsinki","910000","249828","dPCR A","","Havaittiin","5196"
"2025-03-16","Kuhasalo","Joensuu","98000","14610","dPCR A","","Havaittiin","7156"
"2025-03-16","Lehtoniemi","Kuopio","95400","15343","dPCR A","","Havaittiin","3079"
"2025-03-16","Taskila","Oulu","200000","42720","dPCR A","","Havaittiin","4893"
"2025-03-16","Alakorkalo","Rovaniemi","55000","15954","dPCR A","","Havaittiin","11018"
"2025-03-16","Viinikanlahti","Tampere","200000","74104","dPCR A","","Havaittiin","9349"
"2025-03-16","Kakolanmäki","Turku","300000","76039","dPCR A","","Havaittiin","11056"
"2025-03-16","Pått","Vaasa","69500","17795","dPCR A","","Havaittiin (alhainen määrä)",""
"2025-03-10","Aggregoitu","Aggregoitu","","","dPCR A","","","6387"
"2025-03-09","Viikinmäki","Helsinki","910000","259412","dPCR A","","Havaittiin","4094"
"2025-03-09","Kuhasalo","Joensuu","98000","14899","dPCR A","","Havaittiin","6611"
"2025-03-09","Lehtoniemi","Kuopio","95400","16596","dPCR A","","Havaittiin (alhainen määrä)",""
"2025-03-09","Taskila","Oulu","200000","43209","dPCR A","b","Havaittiin","7048"
"2025-03-09","Alakorkalo","Rovaniemi","55000","16148","dPCR A","","Havaittiin","5559"
"2025-03-09","Viinikanlahti","Tampere","200000","85606","dPCR A","","Havaittiin","5862"
"2025-03-09","Kakolanmäki","Turku","300000","83148","dPCR A","","Havaittiin","15556"
"2025-03-09","Pått","Vaasa","69500","19465","dPCR A","","Havaittiin","5137"
"2025-02-24","Aggregoitu","Aggregoitu","","","dPCR A","","","12565"
"2025-02-23","Viikinmäki","Helsinki","910000","242878","dPCR A","","Havaittiin","11643"
"2025-02-23","Lehtoniemi","Kuopio","95400","15906","dPCR A","","Havaittiin","9863"
"2025-02-23","Taskila","Oulu","200000","65257","dPCR A","","Havaittiin","10999"
"2025-02-23","Alakorkalo","Rovaniemi","55000","17626","dPCR A","","Havaittiin","22483"
"2025-02-23","Viinikanlahti","Tampere","200000","66929","dPCR A","","Havaittiin","7544"
"2025-02-23","Kakolanmäki","Turku","300000","74157","dPCR A","","Havaittiin","19213"
"2025-02-23","Pått","Vaasa","69500","19874","dPCR A","","Havaittiin","10745"
"2025-02-17","Aggregoitu","Aggregoitu","","","dPCR A","","","14937"
"2025-02-16","Viikinmäki","Helsinki","910000","233801","dPCR A","","Havaittiin","14560"
"2025-02-16","Kuhasalo","Joensuu","98000","14624","dPCR A","","Havaittiin","12428"
"2025-02-16","Lehtoniemi","Kuopio","95400","13508","dPCR A","","Havaittiin","12517"
"2025-02-16","Taskila","Oulu","200000","43441","dPCR A","","Havaittiin","11373"
"2025-02-16","Viinikanlahti","Tampere","200000","71318","dPCR A","","Havaittiin","14988"
"2025-02-16","Kakolanmäki","Turku","300000","70591","dPCR A","","Havaittiin","22484"
"2025-02-16","Pått","Vaasa","69500","15295","dPCR A","","Havaittiin","4262"
"2025-02-10","Aggregoitu","Aggregoitu","","","dPCR A","","","15445"
"2025-02-09","Viikinmäki","Helsinki","910000","280833","dPCR A","","Havaittiin","13328"
"2025-02-09","Kuhasalo","Joensuu","98000","15148","dPCR A","","Havaittiin","7733"
"2025-02-09","Lehtoniemi","Kuopio","95400","14243","dPCR A","","Havaittiin","11231"
"2025-02-09","Taskila","Oulu","200000","39574","dPCR A","","Havaittiin","11434"
"2025-02-09","Alakorkalo","Rovaniemi","55000","16839","dPCR A","","Havaittiin","19987"
"2025-02-09","Viinikanlahti","Tampere","200000","73814","dPCR A","","Havaittiin","20098"
"2025-02-09","Kakolanmäki","Turku","300000","85690","dPCR A","","Havaittiin","25742"
"2025-02-09","Pått","Vaasa","69500","16309","dPCR A","","Havaittiin","9923"
"2025-02-03","Aggregoitu","Aggregoitu","","","dPCR A","","","26865"
"2025-02-02","Viikinmäki","Helsinki","910000","349692","dPCR A","","Havaittiin","28316"
"2025-02-02","Kuhasalo","Joensuu","98000","16172","dPCR A","","Havaittiin","20357"
"2025-02-02","Lehtoniemi","Kuopio","95400","14416","dPCR A","","Havaittiin","24013"
"2025-02-02","Taskila","Oulu","200000","37126","dPCR A","","Havaittiin","17766"
"2025-02-02","Alakorkalo","Rovaniemi","55000","16012","dPCR A","","Havaittiin","19459"
"2025-02-02","Viinikanlahti","Tampere","200000","83887","dPCR A","","Havaittiin","26868"
"2025-02-02","Kakolanmäki","Turku","300000","112420","dPCR A","","Havaittiin","37125"
"2025-02-02","Pått","Vaasa","69500","17360","dPCR A","","Havaittiin","8713"
"2025-01-20","Aggregoitu","Aggregoitu","","","dPCR A","","","46362"
"2025-01-19","Viikinmäki","Helsinki","910000","323470","dPCR A","","Havaittiin","43987"
"2025-01-19","Kuhasalo","Joensuu","98000","14905","dPCR A","","Havaittiin","41211"
"2025-01-19","Lehtoniemi","Kuopio","95400","13968","dPCR A","","Havaittiin","54578"
"2025-01-19","Taskila","Oulu","200000","45597","dPCR A","c","Havaittiin","27362"
"2025-01-19","Alakorkalo","Rovaniemi","55000","15839","dPCR A","","Havaittiin","54045"
"2025-01-19","Viinikanlahti","Tampere","200000","68777","dPCR A","","Havaittiin","73795"
"2025-01-19","Kakolanmäki","Turku","300000","86470","dPCR A","","Havaittiin","50584"
"2025-01-19","Pått","Vaasa","69500","20132","dPCR A","","Havaittiin","24885"
"2025-01-13","Aggregoitu","Aggregoitu","","","dPCR A","","","48398"
"2025-01-12","Viikinmäki","Helsinki","910000","272838","dPCR A","","Havaittiin","41392"
"2025-01-12","Kuhasalo","Joensuu","98000","14254","dPCR A","","Havaittiin","31864"
"2025-01-12","Lehtoniemi","Kuopio","95400","13033","dPCR A","","Havaittiin","68893"
"2025-01-12","Taskila","Oulu","200000","38656","dPCR A","","Havaittiin","47774"
"2025-01-12","Alakorkalo","Rovaniemi","55000","15262","dPCR A","","Havaittiin","50254"
"2025-01-12","Viinikanlahti","Tampere","200000","70129","dPCR A","","Havaittiin","87584"
"2025-01-12","Kakolanmäki","Turku","300000","76180","dPCR A","","Havaittiin","44868"
"2025-01-12","Pått","Vaasa","69500","15041","dPCR A","","Havaittiin","38098"
"2024-12-30","Aggregoitu","Aggregoitu","","","dPCR A","","","153757"
"2024-12-29","Viikinmäki","Helsinki","910000","398236","dPCR A","","Havaittiin","127448"
"2024-12-29","Kuhasalo","Joensuu","98000","17353","dPCR A","","Havaittiin","191553"
"2024-12-29","Lehtoniemi","Kuopio","95400","13530","dPCR A","","Havaittiin","209272"
"2024-12-29","Taskila","Oulu","200000","46699","dPCR A","","Havaittiin","174331"
"2024-12-29","Alakorkalo","Rovaniemi","55000","16117","dPCR A","a","Havaittiin","205560"
"2024-12-29","Viinikanlahti","Tampere","200000","85640","dPCR A","a","Havaittiin","171250"
"2024-12-29","Kakolanmäki","Turku","300000","108119","dPCR A","","Havaittiin","167075"
"2024-12-29","Pått","Vaasa","69500","20302","dPCR A","","Havaittiin","160699"
"2024-12-16","Aggregoitu","Aggregoitu","","","qPCR C","","","254503"
"2024-12-15","Viikinmäki","Helsinki","910000","283518","qPCR C","","Havaittiin","213836"
"2024-12-15","Kuhasalo","Joensuu","98000","15238","qPCR C","","Havaittiin","350557"
"2024-12-15","Lehtoniemi","Kuopio","95400","14286","qPCR C","c","Havaittiin","269264"
"2024-12-15","Taskila","Oulu","200000","40428","qPCR C","","Havaittiin","199853"
"2024-12-15","Alakorkalo","Rovaniemi","55000","17781","qPCR C","","Havaittiin","490310"
"2024-12-15","Viinikanlahti","Tampere","200000","66732","qPCR C","","Havaittiin","473514"
"2024-12-15","Kakolanmäki","Turku","300000","91695","qPCR C","","Havaittiin","200153"
"2024-12-15","Pått","Vaasa","69500","16064","qPCR C","","Havaittiin","206294"
"2024-12-09","Aggregoitu","Aggregoitu","","","qPCR C","","","281145"
"2024-12-08","Viikinmäki","Helsinki","910000","269435","qPCR C","","Havaittiin","245106"
"2024-12-08","Kuhasalo","Joensuu","98000","16133","qPCR C","","Havaittiin","296011"
"2024-12-08","Lehtoniemi","Kuopio","95400","14697","qPCR C","","Havaittiin","284853"
"2024-12-08","Taskila","Oulu","200000","40860","qPCR C","","Havaittiin","226433"
"2024-12-08","Alakorkalo","Rovaniemi","55000","17715","qPCR C","","Havaittiin","687031"
"2024-12-08","Viinikanlahti","Tampere","200000","73279","qPCR C","","Havaittiin","356215"
"2024-12-08","Kakolanmäki","Turku","300000","98898","qPCR C","","Havaittiin","325937"
"2024-12-08","Pått","Vaasa","69500","19174","qPCR C","","Havaittiin","153830"
"2024-11-25","Aggregoitu","Aggregoitu","","","qPCR C","","","196999"
"2024-11-24","Viikinmäki","Helsinki","910000","342407","qPCR C","","Havaittiin","119101"
"2024-11-24","Kuhasalo","Joensuu","98000","14296","qPCR C","","Havaittiin","227704"
"2024-11-24","Lehtoniemi","Kuopio","95400","13252","qPCR C","","Havaittiin","305169"
"2024-11-24","Taskila","Oulu","200000","38914","qPCR C","","Havaittiin","217887"
"2024-11-24","Alakorkalo","Rovaniemi","55000","17430","qPCR C","","Havaittiin","316140"
"2024-11-24","Viinikanlahti","Tampere","200000","65580","qPCR C","","Havaittiin","410301"
"2024-11-24","Kakolanmäki","Turku","300000","67547","qPCR C","","Havaittiin","224130"
"2024-11-24","Pått","Vaasa","69500","18866","qPCR C","","Havaittiin","139861"
"2024-11-19","Lehtoniemi","Kuopio","95400","15631","qPCR C","","Havaittiin","248537"
"2024-11-18","Aggregoitu","Aggregoitu","","","qPCR C","","","269483"
"2024-11-17","Viikinmäki","Helsinki","910000","263839","qPCR C","","Havaittiin","222309"
"2024-11-17","Kuhasalo","Joensuu","98000","14864","qPCR C","","Havaittiin","262414"
"2024-11-17","Taskila","Oulu","200000","43869","qPCR C","","Havaittiin","375971"
"2024-11-17","Alakorkalo","Rovaniemi","55000","19196","qPCR C","","Havaittiin","853265"
"2024-11-17","Viinikanlahti","Tampere","200000","68036","qPCR C","","Havaittiin","305968"
"2024-11-17","Kakolanmäki","Turku","300000","70485","qPCR C","","Havaittiin","238248"
"2024-11-17","Pått","Vaasa","69500","19669","qPCR C","","Havaittiin","187288"
"2024-11-11","Aggregoitu","Aggregoitu","","","qPCR C","","","142768"
"2024-11-10","Viikinmäki","Helsinki","910000","252383","qPCR C","","Havaittiin","92952"
"2024-11-10","Kuhasalo","Joensuu","98000","14132","qPCR C","","Havaittiin","136822"
"2024-11-10","Lehtoniemi","Kuopio","95400","12688","qPCR C","","Havaittiin","170561"
"2024-11-10","Taskila","Oulu","200000","43942","qPCR C","","Havaittiin","223593"
"2024-11-10","Alakorkalo","Rovaniemi","55000","18147","qPCR C","","Havaittiin","526428"
"2024-11-10","Viinikanlahti","Tampere","200000","71574","qPCR C","","Havaittiin","174232"
"2024-11-10","Kakolanmäki","Turku","300000","73266","qPCR C","","Havaittiin","148412"
