"Näytteen päivämäärä","Puhdistamo","Puhdistamon sijainti","Puhdistamon asiakasmäärä","Virtaama","Menetelmä","Epävarmuus-tekijät","Koronavirus-tulos näytteestä","Normalisoitu RNA-lukumäärä"
"2026-02-16","Kuhasalo","Joensuu","98000","14206","dPCR A","","Havaittiin","66890"
"2026-02-09","Kuhasalo","Joensuu","98000","14137","dPCR A","","Havaittiin","66571"
"2026-02-02","Kuhasalo","Joensuu","98000","14777","dPCR A","","Havaittiin","70620"
"2026-01-26","Kuhasalo","Joensuu","98000","14464","dPCR A","","Havaittiin","28730"
"2026-01-19","Kuhasalo","Joensuu","98000","14930","dPCR A","","Havaittiin","44138"
"2026-01-12","Kuhasalo","Joensuu","98000","15000","dPCR A","","Havaittiin","66018"
"2026-01-05","Kuhasalo","Joensuu","98000","14923","dPCR A","a","Havaittiin","80763"
"2025-12-15","Kuhasalo","Joensuu","98000","16431","dPCR A","","Havaittiin","72015"
"2025-11-24","Kuhasalo","Joensuu","98000","17943","dPCR A","","Havaittiin","39768"
"2025-11-17","Kuhasalo","Joensuu","98000","16620","dPCR A","","Havaittiin","23555"
"2025-11-10","Kuhasalo","Joensuu","98000","15787","dPCR A","","Havaittiin","4891"
"2025-11-03","Kuhasalo","Joensuu","98000","16607","dPCR A","","Havaittiin","16467"
"2025-10-27","Kuhasalo","Joensuu","98000","15229","dPCR A","","Havaittiin","14885"
"2025-10-20","Kuhasalo","Joensuu","98000","14653","dPCR A","","Havaittiin","9227"
"2025-10-13","Kuhasalo","Joensuu","98000","15476","dPCR A","","Havaittiin","13649"
"2025-10-06","Kuhasalo","Joensuu","98000","14815","dPCR A","","Havaittiin","7578"
"2025-09-29","Kuhasalo","Joensuu","98000","14642","dPCR A","b","Havaittiin","6827"
"2025-09-22","Kuhasalo","Joensuu","98000","17802","dPCR A","","Havaittiin","6532"
"2025-09-15","Kuhasalo","Joensuu","98000","15206","dPCR A","","Havaittiin","6758"
"2025-09-08","Kuhasalo","Joensuu","98000","13828","dPCR A","","Havaittiin","12964"
"2025-09-01","Kuhasalo","Joensuu","98000","13934","dPCR A","","Havaittiin","5510"
"2025-08-25","Kuhasalo","Joensuu","98000","14238","dPCR A","","Havaittiin","8097"
"2025-08-04","Kuhasalo","Joensuu","98000","13608","dPCR A","a","Havaittiin","6281"
"2025-07-07","Kuhasalo","Joensuu","98000","15021","dPCR A","","Havaittiin","5227"
"2025-06-09","Kuhasalo","Joensuu","98000","15393","dPCR A","","Havaittiin (alhainen määrä)",""
"2025-04-14","Kuhasalo","Joensuu","98000","20278","dPCR A","","Havaittiin (alhainen määrä)",""
"2025-03-31","Kuhasalo","Joensuu","98000","24727","dPCR A","","Havaittiin","4755"
"2025-03-17","Kuhasalo","Joensuu","98000","14610","dPCR A","","Havaittiin","7156"
"2025-03-10","Kuhasalo","Joensuu","98000","14899","dPCR A","","Havaittiin","6611"
"2025-02-17","Kuhasalo","Joensuu","98000","14624","dPCR A","","Havaittiin","12428"
